commit_hash,commit_date,high_confidence,medium_confidence,low_confidence,high_severity,medium_severity,low_severity,unique_cwes
5190332c7ecdc274e8d4af5e5ef8a4c4f0ee6963,2024-06-26 18:34:00,1120,19,12,40,108,1003,
cde80206e416be919c6652b4fd07f0cba0520789,2024-06-24 15:34:48,1120,19,12,40,108,1003,
a339fc11d1984e2a66f682195c030570277bd001,2024-06-24 15:33:45,1120,19,12,40,108,1003,
33482047dcc24a3cd27c695e916cc9fc5168c0c6,2024-06-21 13:05:53,1120,19,12,40,108,1003,
47bd13295b48c591ae5d4b864690f7afd6e30d42,2024-06-21 11:22:23,1120,19,12,40,108,1003,
ebc0ca893eaedff46d17b4b73731d16d5979bf07,2024-06-21 09:25:23,1120,19,12,40,108,1003,
3a348aec9f6e7ffc46f3b5aeba6ac971f6f73d36,2024-06-20 18:12:07,1119,19,12,40,108,1002,
37b908792bbfb77882df7a872186548317f5d1fa,2024-06-19 17:31:57,1119,19,12,40,108,1002,
73ec0f40036aa12a9d26e46984ae5bb9ad8443f5,2024-06-19 17:31:47,1119,19,12,40,108,1002,
155c17f8ff83b503ad9731f1d6ce53858b078731,2024-06-06 13:39:49,1119,19,12,40,108,1002,
41b94059aab19c8616efb8d54728a5ee58d9cf97,2024-06-02 06:54:39,1119,19,12,40,108,1002,
7db83d84b7a39d78718e06d863a3cbc6449b2d0d,2024-06-01 19:33:23,1119,19,12,40,108,1002,
35e0fdd1c036ff03d029f3a49dfc0ccfa1bab593,2024-06-01 08:07:34,1119,19,12,40,108,1002,
598017f634ad95e223d2130b76ea83d0da73838a,2024-05-29 17:44:18,1119,19,12,40,108,1002,
907c888c23a5e40fa13ceccb6028b29d85aedfc1,2024-05-28 12:13:12,1119,19,12,40,108,1002,
02fe6b6974573a730add42036d13301eb346e3e8,2024-05-24 16:38:48,1119,19,12,40,108,1002,
b892b21045df4cfc65fde9f7b9714e21bbbf41af,2024-05-24 15:14:49,1119,19,12,40,108,1002,
155f80323c6fc09e2f19a22767e20f569989d0cd,2024-05-24 12:59:50,1119,19,12,40,108,1002,
63021018d680b55d65f03c919c86332e8bad23d0,2024-05-21 08:15:18,1119,19,12,40,108,1002,
f79a0eeaffe6da63a5967aaf2e9f85652f9eec68,2024-05-21 04:23:55,1119,19,12,40,108,1002,
8a087d0db9d9aec2e4a5685536e79ee75a4b45d7,2024-05-17 19:19:45,1119,19,12,40,108,1002,
2ae4be426a6645e58e50764deabd3ac0d770e15f,2024-05-17 18:45:07,1119,19,12,40,108,1002,
6ed83f7c04175767165f7891cc0a80218d25d70f,2024-05-17 18:43:12,1119,19,12,40,108,1002,
917e3a725e9464ed04a981571ac45fa268f97fdf,2024-05-10 14:42:41,1119,19,12,40,108,1002,
b1e0e77c97b55ae0305d3d8c3192c61db032fcc6,2024-05-10 13:09:39,1119,19,12,40,108,1002,
ea245f543516dc600d711d5ac8886431ba09b139,2024-05-10 11:04:59,1119,19,12,40,108,1002,
3779b5186addad545683a4acde02d9c636b86261,2024-05-08 13:50:55,1119,19,12,40,108,1002,
194284b1ac88192770e1acc9eea89269bd490048,2024-05-07 14:15:35,1119,19,12,40,108,1002,
1bb8f2fa23498b915bee50d71ff3e31d655fb022,2024-03-20 20:48:52,1119,19,12,40,108,1002,
39f88daaa7b78fdb6b2a10ce6518b6bf154f225c,2024-03-07 14:41:21,1119,19,12,40,108,1002,
98f569eed2252cc7fad0c120cad44f6181c3acf6,2023-11-21 20:31:47,1119,19,12,40,108,1002,
ceff886f4938132ac0888135eee8fa70eecfb557,2023-11-16 18:11:29,1119,19,12,40,108,1002,
15b64768e26309284ed255fb9662aacd3f7eb019,2023-11-15 17:03:26,1119,19,12,40,108,1002,
8bf2678676f9bd5b74c6bd4d80ef81182f8d89c7,2023-11-03 17:03:11,1119,19,12,40,108,1002,
fb80e318e2256c770edfa54590504e8e7aba8b10,2023-10-20 17:23:34,1119,19,12,40,108,1002,
ecbeeafdc141ed89d5daf37ddfa20717190dfdb1,2023-09-15 17:18:04,1119,19,12,40,108,1002,
69e28ceab8bf9a758eeac3282db5166cf69a7172,2023-09-01 18:12:49,1119,19,12,40,108,1002,
4c30e5827b74bcc45f14cf3ae0c1715459ed09ae,2023-08-24 21:24:50,1119,19,12,40,108,1002,
5387ea5c1ff8f4c9b3070671dfa3117ac7dd67b0,2023-08-18 17:41:02,1119,19,12,40,108,1002,
05d67b38287a22d43d55aee76e8fb3bba87c5f48,2023-08-04 17:41:12,1119,19,12,40,108,1002,
38edac5069b6624fc6268d6f0b100ea763199b30,2023-08-02 20:14:54,1119,19,12,40,108,1002,
b4b7a2fdd45d5194d80db1248d158a4cb0f0fb1b,2023-08-01 19:02:04,1119,19,12,40,108,1002,
480f233e3fa5e25cb79e8a762071395ed8915292,2023-07-26 16:42:53,1119,19,12,40,108,1002,
953621ac7e0b45c1adf84910ba5802207f830fc3,2023-07-26 16:38:22,1119,19,12,40,108,1002,
87a026fef314031d51ff067b032c237e40dfd236,2023-07-26 16:37:59,1119,19,12,40,108,1002,
8676303077a11ce67c6c9cefcf65ca6f310f100e,2023-07-19 17:33:47,1119,19,12,40,108,1002,
1a32ba1806a9232240bea799ab7588029a41830c,2023-07-18 20:54:15,1119,19,12,40,108,1002,
842b8e8563ae022e2a4a789c3f8740949e1fd4c6,2023-07-18 19:28:17,1119,19,12,40,108,1002,
7d7e96a65503934fb0c50d21c1b963450ac88d2d,2023-07-18 19:25:08,1119,19,12,40,108,1002,
be4646b4b7ea062095fb702eb3de654107d5bbd5,2023-07-14 12:16:12,1119,19,12,40,108,1002,
8d3adf34ac406677f2ceec885acaf76b369c42c0,2023-07-12 09:59:09,1116,19,12,40,106,1001,
b1dfc77ad78ace9374051c597e5d732cd3402305,2023-07-07 15:40:03,1116,19,12,40,106,1001,
3e074c84353da97305a0b8ea17904921891ca583,2023-07-06 12:38:52,1116,19,12,40,106,1001,
b7e5f63a07b7897408a0eda6c8860b9d59f0e921,2023-07-05 21:23:15,1116,20,12,40,106,1002,
4db30b122533aa0f48cd3f9dbd1ef9b63a10c4d1,2023-06-28 10:53:58,1116,20,12,40,106,1002,
b1e7b19a3d57339e9e020ab82759f97bf2f5e27e,2023-06-27 11:55:40,1116,20,12,40,106,1002,
27f476b31198f0f04ad1a61175c1c0fc9c6a486b,2023-06-26 00:00:46,1116,20,12,40,106,1002,
0e61cac6a892a9b63520858d4a37fa4e2e8ac593,2023-06-25 23:48:37,1116,20,12,40,106,1002,
21f0b394e7d133bbf35ceed8cc2c888ad95e34ef,2023-06-25 23:39:11,1116,20,12,40,106,1002,
cd4ab998fbba39cff507694bc6159fb68f11b1d5,2023-06-03 08:42:24,1116,19,12,40,106,1001,
0e9ac9dce738223beaa8e8667dd8a38cbe59b962,2023-05-31 08:39:52,1116,19,12,40,106,1001,
efffb2819acd056302b7e7facb2d2a78aaa64f08,2023-05-26 18:42:58,1116,19,12,40,106,1001,
19a0eb78bc641485cfa6d67fe8f934fbfa116b5c,2023-05-26 14:44:34,1116,19,12,40,106,1001,
370477288dcf8fb2abbb7e7bba69cf6f841d959b,2023-05-24 15:49:58,1116,19,12,40,106,1001,
94268619c4b4c73f87e841527fed4ad009c61929,2023-05-23 09:50:00,1116,19,12,40,106,1001,
8d60a6a02b3bd697bb578cda9243f7c6aac58987,2023-05-17 16:57:08,1116,19,12,40,106,1001,
7234308651c725ef1e4b40ad1f55c06df782c4f3,2023-05-12 17:35:37,1116,19,12,40,106,1001,
acf5df27ce65ce5cf643ed22879fddcaaa018c39,2023-05-08 16:17:15,1116,19,12,40,106,1001,
37a59f28d3bc1c4468f3d513c0ea84a275109f61,2023-05-08 16:17:02,1116,19,12,40,106,1001,
b084c352f5092618f23541c4c882cc28783818dc,2023-05-05 17:47:44,1116,19,12,40,106,1001,
