commit_hash,commit_date,high_confidence,medium_confidence,low_confidence,high_severity,medium_severity,low_severity,unique_cwes
e946665c5953ab40e6dbb29cc8c496ee625fdadd,2025-02-19 10:05:28,1211,20,116,22,158,1167,
9ebebdef98a6aacfbedcf2ca61ba0eaecc2563f4,2025-02-17 00:41:30,1211,20,116,22,158,1167,
507409661335bd3dd8a7e39f04d07b42e519becc,2025-02-17 00:39:07,1211,20,116,22,158,1167,
5d31ddbf7b3f512dd3c61952d2c16e980a2b7dc1,2025-02-12 17:58:07,1211,20,116,22,158,1167,
a2fd25ff34b66ef71b54dfc90e09a4e4152357f6,2025-02-11 21:28:59,1211,20,116,22,158,1167,
d96f9982a276c73ab078b255c94397cf4d7f6cc2,2025-02-11 21:25:29,1211,20,116,22,158,1167,
11f63a330bc7b9026086e3d259f400f9c702b542,2025-02-03 16:27:40,1211,20,116,22,158,1167,
e361622fae03f08b16c48a0a1414a718d9d45d25,2025-02-01 19:42:06,1211,20,116,22,158,1167,
8c36da656df15111c423975381f523e0b9db7326,2025-01-27 16:56:12,1211,20,116,22,158,1167,
ad959acfcfa77c3d9360a5f62df4a4789eed0fb3,2024-11-09 22:50:30,1211,20,116,22,158,1167,
a6cf27a77f6f5dd6116096e95c16e7c1a616b419,2024-11-02 13:13:02,1211,20,116,22,158,1167,
9787d0c09c0d771b97cb5d333f71e988b43d9ffc,2024-10-28 16:05:20,1211,20,116,22,158,1167,
26664fa57853e97717b0a72244d35eeadaac48d9,2024-10-28 16:05:11,1211,20,116,22,158,1167,
0bff2d94e624651d02756e37e50af3cc1569abcf,2024-09-30 16:34:20,1211,20,116,22,158,1167,
5984296b6a4cea1b20a6747127c335d95595e7d9,2024-09-18 19:40:02,1211,20,116,22,158,1167,
f519bbae3346b4bf0ff866e0659b7efbcf016eb1,2024-09-18 19:14:19,1211,20,116,22,158,1167,
314e7c9c701ddbeb6c26ae357a132045709d47f1,2024-09-18 16:36:43,1211,20,116,22,158,1167,
92f10cec5b3223e90c186b7a04306564cde050dc,2024-09-18 15:04:53,1211,20,116,22,158,1167,
83e67c448567cb78490e709925cc335567f656dd,2024-09-18 15:04:08,1211,20,116,22,158,1167,
173890a48e9f064f0c034edf45109279d1d90a94,2024-09-02 16:56:26,1211,20,116,22,158,1167,
877892e67e22e25bd3cb0dec780bf45c0e67026e,2024-08-12 16:23:16,1211,20,116,22,158,1167,
